index	title	local_file	bytes	source_page	yandex_public_link
1	Упражнения по логике (Богуславский) 1952 год - старые учебники	/workspace/downloads/logika/01-uprazhneniya-po-logike-boguslavskii-1952-god-starye-uchebniki.pdf	10257030	https://sovietime.ru/logika/uprazhneniya-po-logike-boguslavskij-1952	https://disk.yandex.ru/i/_DGBH1uEvUpneg
2	Логика (Виноградов, Кузмин) 1954 год Советский учебник скачать	/workspace/downloads/logika/02-logika-vinogradov-kuzmin-1954-god-sovetskii-uchebnik-skachat.pdf	5052508	https://sovietime.ru/logika/logika-1954-god-sovetskij-uchebnik-skachat	https://disk.yandex.ru/i/2JdGXoj-fj-O3Q
3	Как мы рассуждаем? (Столяр) 1968 год - старые учебники	/workspace/downloads/logika/03-kak-my-rassuzhdaem-stolyar-1968-god-starye-uchebniki.pdf	6238347	https://sovietime.ru/logika/kak-my-rassuzhdaem-stolyar-1968	https://disk.yandex.ru/i/k8a9Y2_FhRXckQ
4	Формальная логика (Чупахин, Бродскии, Плотников, Сергеев, Слинин, Федоров, Бачманов, Назаренко, Подкорытов и др.) 1977 год - старые учебники	/workspace/downloads/logika/04-formalnaya-logika-chupakhin-brodskii-plotnikov-sergeev-slinin-fedorov-bachmanov-nazarenko-podkorytov-i-dr-1977-god-stary.pdf	7411758	https://sovietime.ru/logika/formalnaya-logika-1977	https://disk.yandex.ru/i/2JDZLoosWuw6_Q
5	Интеллект и логика (Ладенко) 1985 год - старые учебники	/workspace/downloads/logika/05-intellekt-i-logika-ladenko-1985-god-starye-uchebniki.pdf	5814109	https://sovietime.ru/logika/intellekt-i-logika-1985	https://disk.yandex.ru/i/2N0heqBCzXdZPA
6	Словарь по логике (Ивин, Никифоров) 1988 год Скачать Советский учебник	/workspace/downloads/logika/06-slovar-po-logike-ivin-nikiforov-1988-god-skachat-sovetskii-uchebnik.djvu	5606571	https://sovietime.ru/logika/slovar-po-logike-1988	https://yadi.sk/i/RBa_Ce2_3XZthu
7	Путь Гегеля к «Науке логики» (Мотрошилова) 1984 год Скачать Советский учебник	/workspace/downloads/logika/07-put-gegelya-k-nauke-logiki-motroshilova-1984-god-skachat-sovetskii-uchebnik.pdf	1757375	https://sovietime.ru/logika/put-gegelya-k-nauke-logiki-1984	https://yadi.sk/i/RAYrwAbL3XZsxi
8	Развитие логических идей от античности до эпохи Возрождения (Попов) 1974	/workspace/downloads/logika/08-razvitie-logicheskikh-idei-ot-antichnosti-do-epokhi-vozrozhdeniya-popov-1974.djvu	3924943	https://sovietime.ru/logika/razvitie-logicheskikh-idej-ot-antichnosti-do-epokhi-vozrozhdeniya-1974	https://yadi.sk/i/ALvC_RQi3XZJEC
9	СТРОГИЙ МИР ЛОГИКИ ( Ивин ) 1988 год Скачать Советский учебник	/workspace/downloads/logika/09-strogii-mir-logiki-ivin-1988-god-skachat-sovetskii-uchebnik.djvu	4312177	https://sovietime.ru/logika/strogij-mir-logiki-1988	https://yadi.sk/i/16k5aMXA3XZEVG
10	ИГРА И ЛОГИКА 85 логических задач (Бизам, Герцег, Данилов) 1975 год Скачать Советский учебник	/workspace/downloads/logika/10-igra-i-logika-85-logicheskikh-zadach-bizam-gertseg-danilov-1975-god-skachat-sovetskii-uchebnik.djvu	9516237	https://sovietime.ru/logika/igra-i-logika-85-logicheskikh-zadach-1975	https://yadi.sk/i/_tfDBJyx3XYrcM
